pagecounts-20120201-000000.gz, size 73M
pagecounts-20120201-010000.gz, size 69M
pagecounts-20120201-020000.gz, size 67M
pagecounts-20120201-030000.gz, size 75M
pagecounts-20120201-040000.gz, size 81M
pagecounts-20120201-050000.gz, size 77M
pagecounts-20120201-060000.gz, size 71M
pagecounts-20120201-070000.gz, size 76M
pagecounts-20120201-080000.gz, size 80M
pagecounts-20120201-090000.gz, size 82M
pagecounts-20120201-100001.gz, size 87M
pagecounts-20120201-110000.gz, size 88M
pagecounts-20120201-120000.gz, size 89M
pagecounts-20120201-130000.gz, size 88M
pagecounts-20120201-140000.gz, size 94M
pagecounts-20120201-150000.gz, size 95M
pagecounts-20120201-160000.gz, size 93M
pagecounts-20120201-170000.gz, size 91M
pagecounts-20120201-180000.gz, size 90M
pagecounts-20120201-190000.gz, size 90M
pagecounts-20120201-200000.gz, size 90M
pagecounts-20120201-210000.gz, size 87M
pagecounts-20120201-220001.gz, size 89M
pagecounts-20120201-230000.gz, size 84M
pagecounts-20120202-000000.gz, size 78M
pagecounts-20120202-010000.gz, size 79M
pagecounts-20120202-020000.gz, size 78M
pagecounts-20120202-030000.gz, size 78M
pagecounts-20120202-040000.gz, size 77M
pagecounts-20120202-050000.gz, size 75M
pagecounts-20120202-060000.gz, size 76M
pagecounts-20120202-070000.gz, size 78M
pagecounts-20120202-080000.gz, size 83M
pagecounts-20120202-090000.gz, size 86M
pagecounts-20120202-100000.gz, size 79M
pagecounts-20120202-110000.gz, size 96M
pagecounts-20120202-120001.gz, size 94M
pagecounts-20120202-130000.gz, size 90M
pagecounts-20120202-140000.gz, size 93M
pagecounts-20120202-150000.gz, size 94M
pagecounts-20120202-160000.gz, size 95M
pagecounts-20120202-170000.gz, size 92M
pagecounts-20120202-180000.gz, size 90M
pagecounts-20120202-190000.gz, size 89M
pagecounts-20120202-200000.gz, size 91M
pagecounts-20120202-210000.gz, size 89M
pagecounts-20120202-220000.gz, size 89M
pagecounts-20120202-230000.gz, size 81M
pagecounts-20120203-000000.gz, size 75M
pagecounts-20120203-010001.gz, size 77M
pagecounts-20120203-020000.gz, size 67M
pagecounts-20120203-030000.gz, size 64M
pagecounts-20120203-040000.gz, size 62M
pagecounts-20120203-050000.gz, size 59M
pagecounts-20120203-060000.gz, size 59M
pagecounts-20120203-070000.gz, size 62M
pagecounts-20120203-080000.gz, size 67M
pagecounts-20120203-090000.gz, size 73M
pagecounts-20120203-100000.gz, size 81M
pagecounts-20120203-110000.gz, size 88M
pagecounts-20120203-120000.gz, size 91M
pagecounts-20120203-130000.gz, size 88M
pagecounts-20120203-140000.gz, size 90M
pagecounts-20120203-150000.gz, size 89M
pagecounts-20120203-160001.gz, size 86M
pagecounts-20120203-170000.gz, size 90M
pagecounts-20120203-180000.gz, size 89M
pagecounts-20120203-190000.gz, size 86M
pagecounts-20120203-200000.gz, size 84M
pagecounts-20120203-210000.gz, size 86M
pagecounts-20120203-220000.gz, size 88M
pagecounts-20120203-230000.gz, size 79M
pagecounts-20120204-000000.gz, size 76M
pagecounts-20120204-010000.gz, size 78M
pagecounts-20120204-020000.gz, size 74M
pagecounts-20120204-030000.gz, size 69M
pagecounts-20120204-040000.gz, size 68M
pagecounts-20120204-050001.gz, size 68M
pagecounts-20120204-060000.gz, size 67M
pagecounts-20120204-070000.gz, size 70M
pagecounts-20120204-080000.gz, size 73M
pagecounts-20120204-090000.gz, size 79M
pagecounts-20120204-100000.gz, size 86M
pagecounts-20120204-110000.gz, size 87M
pagecounts-20120204-120000.gz, size 83M
pagecounts-20120204-130000.gz, size 85M
pagecounts-20120204-140000.gz, size 88M
pagecounts-20120204-150000.gz, size 93M
pagecounts-20120204-160000.gz, size 92M
pagecounts-20120204-170000.gz, size 92M
pagecounts-20120204-180001.gz, size 90M
pagecounts-20120204-190000.gz, size 90M
pagecounts-20120204-200000.gz, size 90M
pagecounts-20120204-210000.gz, size 89M
pagecounts-20120204-220000.gz, size 87M
pagecounts-20120204-230000.gz, size 81M
pagecounts-20120205-000000.gz, size 77M
pagecounts-20120205-010000.gz, size 78M
pagecounts-20120205-020000.gz, size 72M
pagecounts-20120205-030000.gz, size 68M
pagecounts-20120205-040000.gz, size 67M
pagecounts-20120205-050000.gz, size 67M
pagecounts-20120205-060000.gz, size 69M
pagecounts-20120205-070000.gz, size 79M
pagecounts-20120205-080000.gz, size 84M
pagecounts-20120205-090001.gz, size 86M
pagecounts-20120205-100000.gz, size 84M
pagecounts-20120205-110000.gz, size 87M
pagecounts-20120205-120000.gz, size 91M
pagecounts-20120205-130000.gz, size 90M
pagecounts-20120205-140000.gz, size 91M
pagecounts-20120205-150000.gz, size 94M
pagecounts-20120205-160000.gz, size 98M
pagecounts-20120205-170000.gz, size 96M
pagecounts-20120205-180000.gz, size 98M
pagecounts-20120205-190000.gz, size 95M
pagecounts-20120205-200000.gz, size 93M
pagecounts-20120205-210001.gz, size 93M
pagecounts-20120205-220000.gz, size 89M
pagecounts-20120205-230000.gz, size 82M
pagecounts-20120206-000000.gz, size 76M
pagecounts-20120206-010000.gz, size 74M
