pagecounts-20130601-000000.gz, size 87M
pagecounts-20130601-010000.gz, size 81M
pagecounts-20130601-020000.gz, size 79M
pagecounts-20130601-030000.gz, size 80M
pagecounts-20130601-040000.gz, size 81M
pagecounts-20130601-050000.gz, size 83M
pagecounts-20130601-060000.gz, size 84M
pagecounts-20130601-070000.gz, size 86M
pagecounts-20130601-080000.gz, size 93M
pagecounts-20130601-090000.gz, size 94M
pagecounts-20130601-100000.gz, size 98M
pagecounts-20130601-110000.gz, size 98M
pagecounts-20130601-120000.gz, size 97M
pagecounts-20130601-130000.gz, size 100M
pagecounts-20130601-140000.gz, size 101M
pagecounts-20130601-150000.gz, size 103M
pagecounts-20130601-160000.gz, size 105M
pagecounts-20130601-170000.gz, size 105M
pagecounts-20130601-180000.gz, size 103M
pagecounts-20130601-190000.gz, size 99M
pagecounts-20130601-200003.gz, size 100M
pagecounts-20130601-210000.gz, size 97M
pagecounts-20130601-220000.gz, size 92M
pagecounts-20130601-230000.gz, size 88M
pagecounts-20130602-000000.gz, size 90M
pagecounts-20130602-010000.gz, size 87M
pagecounts-20130602-020000.gz, size 86M
pagecounts-20130602-030000.gz, size 84M
pagecounts-20130602-040000.gz, size 84M
pagecounts-20130602-050000.gz, size 84M
pagecounts-20130602-060000.gz, size 85M
pagecounts-20130602-070001.gz, size 88M
pagecounts-20130602-080000.gz, size 89M
pagecounts-20130602-090000.gz, size 92M
pagecounts-20130602-100000.gz, size 93M
pagecounts-20130602-110000.gz, size 93M
pagecounts-20130602-120000.gz, size 92M
pagecounts-20130602-130000.gz, size 94M
pagecounts-20130602-140000.gz, size 97M
pagecounts-20130602-150000.gz, size 99M
pagecounts-20130602-160000.gz, size 100M
pagecounts-20130602-170000.gz, size 98M
pagecounts-20130602-180000.gz, size 97M
pagecounts-20130602-190000.gz, size 96M
pagecounts-20130602-200000.gz, size 96M
pagecounts-20130602-210000.gz, size 95M
pagecounts-20130602-220000.gz, size 89M
pagecounts-20130602-230000.gz, size 89M
pagecounts-20130603-000000.gz, size 82M
pagecounts-20130603-010000.gz, size 80M
pagecounts-20130603-020000.gz, size 81M
pagecounts-20130603-030000.gz, size 81M
pagecounts-20130603-040000.gz, size 81M
pagecounts-20130603-050000.gz, size 81M
pagecounts-20130603-060000.gz, size 84M
pagecounts-20130603-070000.gz, size 92M
pagecounts-20130603-080000.gz, size 99M
pagecounts-20130603-090000.gz, size 103M
pagecounts-20130603-100000.gz, size 104M
pagecounts-20130603-110000.gz, size 102M
pagecounts-20130603-120000.gz, size 102M
pagecounts-20130603-130000.gz, size 106M
pagecounts-20130603-140000.gz, size 110M
pagecounts-20130603-150000.gz, size 109M
pagecounts-20130603-160000.gz, size 106M
pagecounts-20130603-170000.gz, size 106M
pagecounts-20130603-180000.gz, size 106M
pagecounts-20130603-190000.gz, size 106M
pagecounts-20130603-200000.gz, size 106M
pagecounts-20130603-210000.gz, size 102M
pagecounts-20130603-220000.gz, size 97M
pagecounts-20130603-230000.gz, size 89M
pagecounts-20130604-000000.gz, size 85M
pagecounts-20130604-010000.gz, size 84M
pagecounts-20130604-020000.gz, size 84M
pagecounts-20130604-030000.gz, size 87M
pagecounts-20130604-040000.gz, size 88M
pagecounts-20130604-050000.gz, size 89M
pagecounts-20130604-060000.gz, size 92M
pagecounts-20130604-070000.gz, size 96M
pagecounts-20130604-080000.gz, size 104M
pagecounts-20130604-090000.gz, size 106M
pagecounts-20130604-100000.gz, size 107M
pagecounts-20130604-110000.gz, size 99M
pagecounts-20130604-120000.gz, size 102M
pagecounts-20130604-130000.gz, size 105M
pagecounts-20130604-140000.gz, size 109M
pagecounts-20130604-150000.gz, size 110M
pagecounts-20130604-160000.gz, size 111M
pagecounts-20130604-170000.gz, size 109M
pagecounts-20130604-180000.gz, size 110M
pagecounts-20130604-190000.gz, size 110M
pagecounts-20130604-200000.gz, size 109M
pagecounts-20130604-210000.gz, size 105M
pagecounts-20130604-220000.gz, size 98M
pagecounts-20130604-230000.gz, size 89M
pagecounts-20130605-000000.gz, size 83M
pagecounts-20130605-010000.gz, size 84M
pagecounts-20130605-020000.gz, size 85M
pagecounts-20130605-030000.gz, size 84M
pagecounts-20130605-040000.gz, size 85M
pagecounts-20130605-050001.gz, size 85M
pagecounts-20130605-060000.gz, size 88M
pagecounts-20130605-070000.gz, size 95M
pagecounts-20130605-080000.gz, size 101M
pagecounts-20130605-090000.gz, size 105M
pagecounts-20130605-100000.gz, size 105M
pagecounts-20130605-110000.gz, size 106M
pagecounts-20130605-120000.gz, size 106M
pagecounts-20130605-130000.gz, size 112M
pagecounts-20130605-140000.gz, size 114M
pagecounts-20130605-150000.gz, size 113M
pagecounts-20130605-160000.gz, size 111M
pagecounts-20130605-170000.gz, size 110M
pagecounts-20130605-180000.gz, size 108M
pagecounts-20130605-190000.gz, size 108M
pagecounts-20130605-200000.gz, size 108M
pagecounts-20130605-210000.gz, size 104M
pagecounts-20130605-220000.gz, size 99M
pagecounts-20130605-230000.gz, size 92M
pagecounts-20130606-000000.gz, size 97M
pagecounts-20130606-010000.gz, size 94M
pagecounts-20130606-020000.gz, size 91M
pagecounts-20130606-030000.gz, size 85M
pagecounts-20130606-040000.gz, size 81M
pagecounts-20130606-050000.gz, size 82M
pagecounts-20130606-060000.gz, size 84M
pagecounts-20130606-070000.gz, size 90M
pagecounts-20130606-080000.gz, size 95M
pagecounts-20130606-090000.gz, size 97M
pagecounts-20130606-100000.gz, size 99M
pagecounts-20130606-110000.gz, size 104M
pagecounts-20130606-120000.gz, size 111M
pagecounts-20130606-130000.gz, size 118M
pagecounts-20130606-140000.gz, size 115M
pagecounts-20130606-150000.gz, size 115M
pagecounts-20130606-160000.gz, size 114M
pagecounts-20130606-170000.gz, size 122M
pagecounts-20130606-180000.gz, size 123M
pagecounts-20130606-190000.gz, size 115M
pagecounts-20130606-200000.gz, size 120M
pagecounts-20130606-210000.gz, size 112M
pagecounts-20130606-220000.gz, size 112M
pagecounts-20130606-230000.gz, size 105M
pagecounts-20130607-000000.gz, size 107M
pagecounts-20130607-010000.gz, size 103M
pagecounts-20130607-020000.gz, size 99M
pagecounts-20130607-030000.gz, size 103M
pagecounts-20130607-040000.gz, size 104M
pagecounts-20130607-050000.gz, size 99M
pagecounts-20130607-060000.gz, size 95M
pagecounts-20130607-070000.gz, size 99M
pagecounts-20130607-080000.gz, size 104M
pagecounts-20130607-090000.gz, size 111M
pagecounts-20130607-100000.gz, size 119M
pagecounts-20130607-110000.gz, size 119M
pagecounts-20130607-120000.gz, size 119M
pagecounts-20130607-130000.gz, size 121M
pagecounts-20130607-140000.gz, size 123M
pagecounts-20130607-150000.gz, size 121M
pagecounts-20130607-160000.gz, size 119M
pagecounts-20130607-170000.gz, size 114M
pagecounts-20130607-180000.gz, size 114M
pagecounts-20130607-190000.gz, size 113M
pagecounts-20130607-200000.gz, size 113M
pagecounts-20130607-210000.gz, size 111M
pagecounts-20130607-220000.gz, size 97M
pagecounts-20130607-230000.gz, size 92M
pagecounts-20130608-000000.gz, size 95M
pagecounts-20130608-010000.gz, size 94M
pagecounts-20130608-020000.gz, size 88M
pagecounts-20130608-030000.gz, size 85M
pagecounts-20130608-040000.gz, size 82M
pagecounts-20130608-050000.gz, size 84M
pagecounts-20130608-060000.gz, size 85M
pagecounts-20130608-070000.gz, size 89M
pagecounts-20130608-080000.gz, size 94M
pagecounts-20130608-090000.gz, size 95M
pagecounts-20130608-100000.gz, size 97M
pagecounts-20130608-110000.gz, size 97M
