pagecounts-20131001-000005.gz, size 83M
pagecounts-20131001-010001.gz, size 79M
pagecounts-20131001-020000.gz, size 81M
pagecounts-20131001-030001.gz, size 80M
pagecounts-20131001-040000.gz, size 82M
pagecounts-20131001-050011.gz, size 84M
pagecounts-20131001-060010.gz, size 85M
pagecounts-20131001-070001.gz, size 97M
pagecounts-20131001-080000.gz, size 99M
pagecounts-20131001-090000.gz, size 99M
pagecounts-20131001-100000.gz, size 100M
pagecounts-20131001-110000.gz, size 98M
pagecounts-20131001-120001.gz, size 100M
pagecounts-20131001-130000.gz, size 107M
pagecounts-20131001-140001.gz, size 102M
pagecounts-20131001-150014.gz, size 101M
pagecounts-20131001-160000.gz, size 104M
pagecounts-20131001-170000.gz, size 104M
pagecounts-20131001-180000.gz, size 99M
pagecounts-20131001-190006.gz, size 99M
pagecounts-20131001-200000.gz, size 101M
pagecounts-20131001-210000.gz, size 97M
pagecounts-20131001-220001.gz, size 93M
pagecounts-20131001-230000.gz, size 86M
pagecounts-20131002-000000.gz, size 86M
pagecounts-20131002-010002.gz, size 83M
pagecounts-20131002-020001.gz, size 84M
pagecounts-20131002-030000.gz, size 85M
pagecounts-20131002-040000.gz, size 84M
pagecounts-20131002-050000.gz, size 86M
pagecounts-20131002-060003.gz, size 90M
pagecounts-20131002-070000.gz, size 94M
pagecounts-20131002-080012.gz, size 97M
pagecounts-20131002-090009.gz, size 97M
pagecounts-20131002-100007.gz, size 97M
pagecounts-20131002-110000.gz, size 95M
pagecounts-20131002-120000.gz, size 97M
pagecounts-20131002-130002.gz, size 100M
pagecounts-20131002-140000.gz, size 95M
pagecounts-20131002-150016.gz, size 94M
pagecounts-20131002-160012.gz, size 94M
pagecounts-20131002-170000.gz, size 96M
pagecounts-20131002-180001.gz, size 98M
pagecounts-20131002-190000.gz, size 96M
pagecounts-20131002-200001.gz, size 95M
pagecounts-20131002-210000.gz, size 94M
pagecounts-20131002-220001.gz, size 87M
pagecounts-20131002-230000.gz, size 82M
pagecounts-20131003-000000.gz, size 80M
pagecounts-20131003-010001.gz, size 79M
pagecounts-20131003-020000.gz, size 80M
pagecounts-20131003-030000.gz, size 81M
pagecounts-20131003-040000.gz, size 81M
pagecounts-20131003-050001.gz, size 81M
pagecounts-20131003-060000.gz, size 84M
pagecounts-20131003-070001.gz, size 89M
pagecounts-20131003-080011.gz, size 91M
pagecounts-20131003-090001.gz, size 93M
