pagecounts-20120101-000000.gz, size 65M
pagecounts-20120101-010000.gz, size 69M
pagecounts-20120101-020000.gz, size 65M
pagecounts-20120101-030000.gz, size 62M
pagecounts-20120101-040000.gz, size 62M
pagecounts-20120101-050000.gz, size 61M
pagecounts-20120101-060001.gz, size 59M
pagecounts-20120101-070000.gz, size 62M
pagecounts-20120101-080000.gz, size 65M
pagecounts-20120101-090000.gz, size 64M
pagecounts-20120101-100000.gz, size 69M
pagecounts-20120101-110000.gz, size 81M
pagecounts-20120101-120000.gz, size 83M
pagecounts-20120101-130000.gz, size 79M
pagecounts-20120101-140000.gz, size 79M
pagecounts-20120101-150000.gz, size 81M
pagecounts-20120101-160000.gz, size 83M
pagecounts-20120101-170000.gz, size 84M
pagecounts-20120101-180001.gz, size 84M
pagecounts-20120101-190000.gz, size 85M
pagecounts-20120101-200000.gz, size 85M
pagecounts-20120101-210000.gz, size 85M
pagecounts-20120101-220000.gz, size 82M
pagecounts-20120101-230000.gz, size 79M
pagecounts-20120102-000000.gz, size 73M
pagecounts-20120102-010000.gz, size 76M
pagecounts-20120102-020000.gz, size 75M
pagecounts-20120102-030000.gz, size 73M
pagecounts-20120102-040000.gz, size 70M
pagecounts-20120102-050001.gz, size 68M
pagecounts-20120102-060000.gz, size 68M
pagecounts-20120102-070000.gz, size 67M
pagecounts-20120102-080000.gz, size 74M
pagecounts-20120102-090000.gz, size 86M
pagecounts-20120102-100000.gz, size 89M
pagecounts-20120102-110000.gz, size 90M
pagecounts-20120102-120000.gz, size 90M
pagecounts-20120102-130000.gz, size 87M
pagecounts-20120102-140000.gz, size 91M
pagecounts-20120102-150000.gz, size 93M
pagecounts-20120102-160000.gz, size 93M
pagecounts-20120102-170001.gz, size 91M
pagecounts-20120102-180000.gz, size 91M
pagecounts-20120102-190000.gz, size 91M
pagecounts-20120102-200000.gz, size 89M
pagecounts-20120102-210000.gz, size 87M
pagecounts-20120102-220000.gz, size 83M
pagecounts-20120102-230000.gz, size 77M
pagecounts-20120103-000000.gz, size 74M
pagecounts-20120103-010000.gz, size 75M
pagecounts-20120103-020000.gz, size 71M
pagecounts-20120103-030000.gz, size 70M
pagecounts-20120103-040001.gz, size 71M
pagecounts-20120103-050000.gz, size 69M
pagecounts-20120103-060000.gz, size 69M
pagecounts-20120103-070000.gz, size 76M
pagecounts-20120103-080000.gz, size 84M
pagecounts-20120103-090000.gz, size 85M
pagecounts-20120103-100000.gz, size 86M
pagecounts-20120103-110000.gz, size 88M
pagecounts-20120103-120000.gz, size 89M
pagecounts-20120103-130000.gz, size 86M
pagecounts-20120103-140000.gz, size 89M
pagecounts-20120103-150001.gz, size 92M
pagecounts-20120103-160000.gz, size 93M
pagecounts-20120103-170000.gz, size 95M
pagecounts-20120103-180000.gz, size 93M
pagecounts-20120103-190000.gz, size 92M
pagecounts-20120103-200000.gz, size 92M
pagecounts-20120103-210000.gz, size 88M
pagecounts-20120103-220000.gz, size 85M
pagecounts-20120103-230000.gz, size 82M
pagecounts-20120104-000000.gz, size 78M
pagecounts-20120104-010000.gz, size 76M
pagecounts-20120104-020000.gz, size 76M
pagecounts-20120104-030001.gz, size 73M
pagecounts-20120104-040000.gz, size 71M
pagecounts-20120104-050000.gz, size 77M
pagecounts-20120104-060000.gz, size 82M
pagecounts-20120104-070000.gz, size 86M
pagecounts-20120104-080000.gz, size 84M
pagecounts-20120104-090000.gz, size 88M
pagecounts-20120104-100000.gz, size 89M
pagecounts-20120104-110000.gz, size 90M
pagecounts-20120104-120000.gz, size 90M
pagecounts-20120104-130000.gz, size 91M
pagecounts-20120104-140000.gz, size 96M
pagecounts-20120104-150001.gz, size 96M
pagecounts-20120104-160000.gz, size 98M
pagecounts-20120104-170000.gz, size 97M
pagecounts-20120104-180000.gz, size 93M
pagecounts-20120104-190000.gz, size 92M
pagecounts-20120104-200000.gz, size 92M
pagecounts-20120104-210000.gz, size 93M
pagecounts-20120104-220000.gz, size 90M
pagecounts-20120104-230000.gz, size 86M
pagecounts-20120105-000000.gz, size 79M
pagecounts-20120105-010001.gz, size 78M
pagecounts-20120105-020000.gz, size 77M
pagecounts-20120105-030000.gz, size 79M
pagecounts-20120105-040000.gz, size 80M
pagecounts-20120105-050000.gz, size 82M
pagecounts-20120105-060000.gz, size 79M
pagecounts-20120105-070000.gz, size 80M
pagecounts-20120105-080000.gz, size 82M
pagecounts-20120105-090000.gz, size 85M
pagecounts-20120105-100000.gz, size 86M
pagecounts-20120105-110000.gz, size 89M
pagecounts-20120105-120000.gz, size 93M
