pagecounts-20120401-000000.gz, size 69M
pagecounts-20120401-010000.gz, size 66M
pagecounts-20120401-020001.gz, size 64M
pagecounts-20120401-030000.gz, size 63M
pagecounts-20120401-040000.gz, size 66M
pagecounts-20120401-050000.gz, size 71M
pagecounts-20120401-060000.gz, size 73M
pagecounts-20120401-070000.gz, size 73M
pagecounts-20120401-080000.gz, size 75M
pagecounts-20120401-090000.gz, size 80M
pagecounts-20120401-100000.gz, size 83M
pagecounts-20120401-110000.gz, size 85M
pagecounts-20120401-120000.gz, size 85M
pagecounts-20120401-130000.gz, size 88M
pagecounts-20120401-140000.gz, size 90M
pagecounts-20120401-150000.gz, size 93M
pagecounts-20120401-160001.gz, size 94M
pagecounts-20120401-170000.gz, size 94M
pagecounts-20120401-180000.gz, size 90M
pagecounts-20120401-190000.gz, size 89M
pagecounts-20120401-200000.gz, size 88M
pagecounts-20120401-210000.gz, size 85M
pagecounts-20120401-220000.gz, size 80M
pagecounts-20120401-230000.gz, size 74M
pagecounts-20120402-000000.gz, size 70M
pagecounts-20120402-010000.gz, size 67M
pagecounts-20120402-020000.gz, size 68M
pagecounts-20120402-030000.gz, size 77M
pagecounts-20120402-040000.gz, size 72M
pagecounts-20120402-050001.gz, size 70M
pagecounts-20120402-060000.gz, size 71M
pagecounts-20120402-070000.gz, size 76M
pagecounts-20120402-080000.gz, size 81M
pagecounts-20120402-090000.gz, size 84M
pagecounts-20120402-100000.gz, size 86M
pagecounts-20120402-110000.gz, size 86M
pagecounts-20120402-120000.gz, size 89M
pagecounts-20120402-130000.gz, size 95M
pagecounts-20120402-140000.gz, size 98M
pagecounts-20120402-150000.gz, size 99M
pagecounts-20120402-160000.gz, size 95M
pagecounts-20120402-170000.gz, size 93M
pagecounts-20120402-180001.gz, size 92M
pagecounts-20120402-190000.gz, size 91M
pagecounts-20120402-200000.gz, size 92M
pagecounts-20120402-210000.gz, size 89M
pagecounts-20120402-220000.gz, size 84M
pagecounts-20120402-230000.gz, size 78M
pagecounts-20120403-000000.gz, size 73M
pagecounts-20120403-010000.gz, size 80M
pagecounts-20120403-020000.gz, size 74M
pagecounts-20120403-030000.gz, size 76M
pagecounts-20120403-040000.gz, size 71M
pagecounts-20120403-050000.gz, size 70M
pagecounts-20120403-060000.gz, size 72M
pagecounts-20120403-070001.gz, size 81M
pagecounts-20120403-080000.gz, size 80M
pagecounts-20120403-090000.gz, size 85M
pagecounts-20120403-100000.gz, size 86M
pagecounts-20120403-110000.gz, size 85M
pagecounts-20120403-120000.gz, size 88M
pagecounts-20120403-130000.gz, size 91M
pagecounts-20120403-140000.gz, size 91M
pagecounts-20120403-150000.gz, size 91M
pagecounts-20120403-160000.gz, size 89M
pagecounts-20120403-170000.gz, size 89M
pagecounts-20120403-180000.gz, size 89M
pagecounts-20120403-190000.gz, size 88M
pagecounts-20120403-200000.gz, size 86M
pagecounts-20120403-210001.gz, size 84M
pagecounts-20120403-220000.gz, size 81M
pagecounts-20120403-230000.gz, size 73M
pagecounts-20120404-000000.gz, size 68M
pagecounts-20120404-010000.gz, size 67M
pagecounts-20120404-020000.gz, size 67M
pagecounts-20120404-030000.gz, size 65M
pagecounts-20120404-040000.gz, size 64M
pagecounts-20120404-050000.gz, size 65M
pagecounts-20120404-060000.gz, size 67M
pagecounts-20120404-070000.gz, size 71M
pagecounts-20120404-080000.gz, size 75M
pagecounts-20120404-090000.gz, size 78M
pagecounts-20120404-100000.gz, size 84M
pagecounts-20120404-110001.gz, size 87M
pagecounts-20120404-120000.gz, size 87M
pagecounts-20120404-130000.gz, size 89M
pagecounts-20120404-140000.gz, size 93M
pagecounts-20120404-150000.gz, size 92M
pagecounts-20120404-160000.gz, size 91M
pagecounts-20120404-170000.gz, size 89M
