pagecounts-20121201-000000.gz, size 83M
pagecounts-20121201-010000.gz, size 83M
pagecounts-20121201-020001.gz, size 82M
pagecounts-20121201-030000.gz, size 74M
pagecounts-20121201-040000.gz, size 76M
pagecounts-20121201-050000.gz, size 75M
pagecounts-20121201-060000.gz, size 76M
pagecounts-20121201-070000.gz, size 78M
pagecounts-20121201-080000.gz, size 82M
pagecounts-20121201-090000.gz, size 84M
pagecounts-20121201-100000.gz, size 87M
pagecounts-20121201-110000.gz, size 88M
pagecounts-20121201-120000.gz, size 88M
pagecounts-20121201-130000.gz, size 91M
pagecounts-20121201-140000.gz, size 93M
pagecounts-20121201-150000.gz, size 94M
pagecounts-20121201-160001.gz, size 98M
pagecounts-20121201-170000.gz, size 100M
pagecounts-20121201-180000.gz, size 98M
pagecounts-20121201-190000.gz, size 98M
pagecounts-20121201-200000.gz, size 99M
pagecounts-20121201-210000.gz, size 96M
pagecounts-20121201-220000.gz, size 96M
pagecounts-20121201-230000.gz, size 91M
pagecounts-20121202-000000.gz, size 88M
pagecounts-20121202-010000.gz, size 92M
pagecounts-20121202-020000.gz, size 93M
pagecounts-20121202-030000.gz, size 80M
pagecounts-20121202-040001.gz, size 64M
pagecounts-20121202-050000.gz, size 79M
pagecounts-20121202-060000.gz, size 81M
pagecounts-20121202-070000.gz, size 78M
pagecounts-20121202-080000.gz, size 84M
pagecounts-20121202-090000.gz, size 89M
pagecounts-20121202-100000.gz, size 95M
pagecounts-20121202-110000.gz, size 105M
pagecounts-20121202-120000.gz, size 100M
pagecounts-20121202-130000.gz, size 100M
pagecounts-20121202-140000.gz, size 102M
pagecounts-20121202-150000.gz, size 104M
pagecounts-20121202-160000.gz, size 106M
pagecounts-20121202-170001.gz, size 104M
pagecounts-20121202-180000.gz, size 103M
pagecounts-20121202-190000.gz, size 106M
pagecounts-20121202-200000.gz, size 102M
pagecounts-20121202-210000.gz, size 99M
pagecounts-20121202-220000.gz, size 99M
pagecounts-20121202-230000.gz, size 92M
pagecounts-20121203-000000.gz, size 86M
pagecounts-20121203-010000.gz, size 84M
pagecounts-20121203-020000.gz, size 80M
pagecounts-20121203-030000.gz, size 81M
pagecounts-20121203-040000.gz, size 79M
pagecounts-20121203-050000.gz, size 81M
pagecounts-20121203-060001.gz, size 80M
pagecounts-20121203-070000.gz, size 83M
pagecounts-20121203-080000.gz, size 87M
pagecounts-20121203-090000.gz, size 93M
pagecounts-20121203-100000.gz, size 94M
pagecounts-20121203-110000.gz, size 94M
pagecounts-20121203-120000.gz, size 94M
pagecounts-20121203-130000.gz, size 98M
pagecounts-20121203-140000.gz, size 102M
pagecounts-20121203-150000.gz, size 105M
pagecounts-20121203-160000.gz, size 106M
