pagecounts-20130401-000000.gz, size 86M
pagecounts-20130401-010000.gz, size 78M
pagecounts-20130401-020000.gz, size 80M
pagecounts-20130401-030000.gz, size 77M
pagecounts-20130401-040000.gz, size 78M
pagecounts-20130401-050000.gz, size 77M
pagecounts-20130401-060000.gz, size 79M
pagecounts-20130401-070001.gz, size 82M
pagecounts-20130401-080000.gz, size 87M
pagecounts-20130401-090000.gz, size 92M
pagecounts-20130401-100000.gz, size 96M
pagecounts-20130401-110000.gz, size 94M
pagecounts-20130401-120000.gz, size 94M
pagecounts-20130401-130000.gz, size 97M
pagecounts-20130401-140000.gz, size 98M
pagecounts-20130401-150000.gz, size 103M
pagecounts-20130401-160000.gz, size 104M
pagecounts-20130401-170000.gz, size 105M
pagecounts-20130401-180000.gz, size 104M
pagecounts-20130401-190001.gz, size 103M
pagecounts-20130401-200000.gz, size 102M
pagecounts-20130401-210000.gz, size 98M
pagecounts-20130401-220000.gz, size 94M
pagecounts-20130401-230000.gz, size 88M
pagecounts-20130402-000000.gz, size 84M
pagecounts-20130402-010000.gz, size 79M
pagecounts-20130402-020000.gz, size 79M
pagecounts-20130402-030000.gz, size 76M
pagecounts-20130402-040000.gz, size 74M
pagecounts-20130402-050000.gz, size 74M
pagecounts-20130402-060000.gz, size 74M
pagecounts-20130402-070000.gz, size 81M
pagecounts-20130402-070001.gz, size 82M
pagecounts-20130402-080000.gz, size 86M
pagecounts-20130402-090000.gz, size 92M
pagecounts-20130402-100000.gz, size 94M
pagecounts-20130402-110000.gz, size 94M
pagecounts-20130402-120000.gz, size 96M
pagecounts-20130402-130000.gz, size 98M
pagecounts-20130402-140000.gz, size 103M
pagecounts-20130402-150000.gz, size 102M
pagecounts-20130402-160000.gz, size 102M
pagecounts-20130402-170000.gz, size 102M
pagecounts-20130402-180000.gz, size 101M
pagecounts-20130402-190000.gz, size 97M
pagecounts-20130402-190001.gz, size 98M
pagecounts-20130402-200000.gz, size 97M
pagecounts-20130402-210000.gz, size 94M
pagecounts-20130402-220000.gz, size 83M
pagecounts-20130402-230000.gz, size 81M
pagecounts-20130403-000000.gz, size 73M
pagecounts-20130403-010000.gz, size 72M
pagecounts-20130403-020000.gz, size 72M
pagecounts-20130403-030000.gz, size 69M
pagecounts-20130403-040000.gz, size 68M
pagecounts-20130403-050000.gz, size 67M
pagecounts-20130403-060000.gz, size 69M
pagecounts-20130403-070000.gz, size 75M
pagecounts-20130403-070001.gz, size 76M
pagecounts-20130403-080000.gz, size 79M
pagecounts-20130403-090000.gz, size 84M
pagecounts-20130403-100000.gz, size 87M
pagecounts-20130403-110000.gz, size 87M
pagecounts-20130403-120000.gz, size 88M
pagecounts-20130403-130000.gz, size 91M
pagecounts-20130403-140000.gz, size 96M
pagecounts-20130403-150000.gz, size 97M
pagecounts-20130403-160000.gz, size 96M
pagecounts-20130403-170000.gz, size 93M
pagecounts-20130403-180000.gz, size 92M
pagecounts-20130403-190000.gz, size 90M
pagecounts-20130403-200000.gz, size 90M
pagecounts-20130403-200001.gz, size 91M
pagecounts-20130403-210000.gz, size 88M
pagecounts-20130403-220000.gz, size 80M
pagecounts-20130403-230000.gz, size 76M
