pagecounts-20131201-000000.gz, size 90M
pagecounts-20131201-010009.gz, size 87M
pagecounts-20131201-020000.gz, size 84M
pagecounts-20131201-030001.gz, size 82M
pagecounts-20131201-040000.gz, size 76M
pagecounts-20131201-050009.gz, size 80M
pagecounts-20131201-060000.gz, size 81M
pagecounts-20131201-070001.gz, size 82M
pagecounts-20131201-080000.gz, size 86M
pagecounts-20131201-090000.gz, size 90M
pagecounts-20131201-100000.gz, size 95M
pagecounts-20131201-110000.gz, size 97M
pagecounts-20131201-120000.gz, size 99M
pagecounts-20131201-130001.gz, size 99M
pagecounts-20131201-140009.gz, size 99M
pagecounts-20131201-150014.gz, size 101M
pagecounts-20131201-160002.gz, size 100M
pagecounts-20131201-170007.gz, size 99M
pagecounts-20131201-180003.gz, size 99M
pagecounts-20131201-190000.gz, size 97M
pagecounts-20131201-200002.gz, size 96M
pagecounts-20131201-210011.gz, size 94M
pagecounts-20131201-220001.gz, size 92M
pagecounts-20131201-230000.gz, size 89M
pagecounts-20131202-000013.gz, size 88M
pagecounts-20131202-010012.gz, size 86M
pagecounts-20131202-020000.gz, size 82M
pagecounts-20131202-030006.gz, size 83M
pagecounts-20131202-040000.gz, size 81M
pagecounts-20131202-050003.gz, size 81M
pagecounts-20131202-060000.gz, size 84M
pagecounts-20131202-070000.gz, size 86M
pagecounts-20131202-080007.gz, size 88M
pagecounts-20131202-090002.gz, size 91M
pagecounts-20131202-100000.gz, size 91M
pagecounts-20131202-110000.gz, size 92M
pagecounts-20131202-120000.gz, size 95M
pagecounts-20131202-130014.gz, size 96M
pagecounts-20131202-140010.gz, size 98M
pagecounts-20131202-150000.gz, size 97M
pagecounts-20131202-160000.gz, size 98M
pagecounts-20131202-170003.gz, size 95M
pagecounts-20131202-180000.gz, size 95M
pagecounts-20131202-190002.gz, size 92M
pagecounts-20131202-200013.gz, size 93M
pagecounts-20131202-210008.gz, size 89M
pagecounts-20131202-220012.gz, size 86M
pagecounts-20131202-230001.gz, size 86M
pagecounts-20131203-000002.gz, size 82M
pagecounts-20131203-010001.gz, size 78M
pagecounts-20131203-020003.gz, size 76M
pagecounts-20131203-030000.gz, size 77M
pagecounts-20131203-040000.gz, size 78M
pagecounts-20131203-050001.gz, size 81M
pagecounts-20131203-060000.gz, size 79M
pagecounts-20131203-070000.gz, size 81M
pagecounts-20131203-080000.gz, size 89M
pagecounts-20131203-090002.gz, size 94M
pagecounts-20131203-100000.gz, size 96M
pagecounts-20131203-110001.gz, size 97M
pagecounts-20131203-120000.gz, size 99M
pagecounts-20131203-130000.gz, size 96M
pagecounts-20131203-140006.gz, size 100M
pagecounts-20131203-150000.gz, size 100M
pagecounts-20131203-160001.gz, size 100M
pagecounts-20131203-170000.gz, size 97M
pagecounts-20131203-180001.gz, size 96M
pagecounts-20131203-190000.gz, size 96M
pagecounts-20131203-200003.gz, size 46M
pagecounts-20131203-210005.gz, size 91M
pagecounts-20131203-220000.gz, size 91M
pagecounts-20131203-230000.gz, size 92M
pagecounts-20131204-000001.gz, size 88M
pagecounts-20131204-010000.gz, size 85M
pagecounts-20131204-020000.gz, size 83M
pagecounts-20131204-030000.gz, size 81M
pagecounts-20131204-040006.gz, size 81M
pagecounts-20131204-050000.gz, size 82M
pagecounts-20131204-060011.gz, size 83M
pagecounts-20131204-070000.gz, size 86M
pagecounts-20131204-080000.gz, size 92M
pagecounts-20131204-090001.gz, size 95M
pagecounts-20131204-100001.gz, size 95M
pagecounts-20131204-110013.gz, size 99M
pagecounts-20131204-120000.gz, size 100M
pagecounts-20131204-130000.gz, size 99M
pagecounts-20131204-140000.gz, size 99M
pagecounts-20131204-150000.gz, size 98M
pagecounts-20131204-160000.gz, size 102M
pagecounts-20131204-170016.gz, size 101M
pagecounts-20131204-180014.gz, size 98M
pagecounts-20131204-190001.gz, size 94M
pagecounts-20131204-200000.gz, size 94M
pagecounts-20131204-210015.gz, size 92M
pagecounts-20131204-220013.gz, size 94M
pagecounts-20131204-230013.gz, size 91M
pagecounts-20131205-000000.gz, size 86M
pagecounts-20131205-010000.gz, size 85M
pagecounts-20131205-020000.gz, size 85M
pagecounts-20131205-030001.gz, size 84M
pagecounts-20131205-040000.gz, size 83M
pagecounts-20131205-050000.gz, size 84M
pagecounts-20131205-060000.gz, size 85M
pagecounts-20131205-070007.gz, size 89M
pagecounts-20131205-080000.gz, size 95M
pagecounts-20131205-090000.gz, size 97M
pagecounts-20131205-100000.gz, size 101M
pagecounts-20131205-110000.gz, size 105M
pagecounts-20131205-120004.gz, size 102M
pagecounts-20131205-130000.gz, size 102M
pagecounts-20131205-140016.gz, size 104M
pagecounts-20131205-150001.gz, size 103M
pagecounts-20131205-160000.gz, size 105M
pagecounts-20131205-170011.gz, size 101M
pagecounts-20131205-180001.gz, size 97M
pagecounts-20131205-190000.gz, size 97M
pagecounts-20131205-200000.gz, size 96M
pagecounts-20131205-210000.gz, size 93M
pagecounts-20131205-220002.gz, size 90M
pagecounts-20131205-230000.gz, size 84M
pagecounts-20131206-000011.gz, size 83M
pagecounts-20131206-010011.gz, size 84M
pagecounts-20131206-020012.gz, size 79M
pagecounts-20131206-030000.gz, size 81M
pagecounts-20131206-040000.gz, size 83M
pagecounts-20131206-050000.gz, size 84M
pagecounts-20131206-060000.gz, size 81M
pagecounts-20131206-070000.gz, size 84M
pagecounts-20131206-080000.gz, size 89M
pagecounts-20131206-090001.gz, size 92M
pagecounts-20131206-100000.gz, size 99M
pagecounts-20131206-110000.gz, size 98M
pagecounts-20131206-120000.gz, size 99M
pagecounts-20131206-130013.gz, size 98M
pagecounts-20131206-140000.gz, size 99M
pagecounts-20131206-150006.gz, size 102M
pagecounts-20131206-160000.gz, size 100M
pagecounts-20131206-170014.gz, size 99M
pagecounts-20131206-180001.gz, size 97M
pagecounts-20131206-190000.gz, size 97M
pagecounts-20131206-200000.gz, size 94M
pagecounts-20131206-210013.gz, size 94M
pagecounts-20131206-220001.gz, size 89M
pagecounts-20131206-230000.gz, size 88M
pagecounts-20131207-000000.gz, size 90M
pagecounts-20131207-010001.gz, size 89M
pagecounts-20131207-020012.gz, size 85M
pagecounts-20131207-030000.gz, size 79M
pagecounts-20131207-040010.gz, size 80M
pagecounts-20131207-050010.gz, size 81M
pagecounts-20131207-060000.gz, size 85M
pagecounts-20131207-070000.gz, size 85M
pagecounts-20131207-080011.gz, size 86M
pagecounts-20131207-090000.gz, size 86M
pagecounts-20131207-100000.gz, size 89M
pagecounts-20131207-110001.gz, size 94M
pagecounts-20131207-120000.gz, size 99M
pagecounts-20131207-130014.gz, size 98M
pagecounts-20131207-140012.gz, size 98M
pagecounts-20131207-150001.gz, size 99M
pagecounts-20131207-160000.gz, size 97M
pagecounts-20131207-170000.gz, size 96M
pagecounts-20131207-180015.gz, size 97M
