pagecounts-20091001-000000.gz, size 58M
pagecounts-20091001-010000.gz, size 56M
pagecounts-20091001-020000.gz, size 55M
pagecounts-20091001-030000.gz, size 49M
pagecounts-20091001-040000.gz, size 48M
pagecounts-20091001-050000.gz, size 44M
pagecounts-20091001-060000.gz, size 46M
pagecounts-20091001-070001.gz, size 51M
pagecounts-20091001-080000.gz, size 54M
pagecounts-20091001-090000.gz, size 55M
pagecounts-20091001-100000.gz, size 56M
pagecounts-20091001-110000.gz, size 56M
pagecounts-20091001-120000.gz, size 59M
pagecounts-20091001-130000.gz, size 63M
pagecounts-20091001-140000.gz, size 65M
pagecounts-20091001-150000.gz, size 64M
pagecounts-20091001-160001.gz, size 63M
pagecounts-20091001-170000.gz, size 62M
pagecounts-20091001-180000.gz, size 63M
pagecounts-20091001-190000.gz, size 62M
pagecounts-20091001-200000.gz, size 62M
pagecounts-20091001-210000.gz, size 62M
pagecounts-20091001-220000.gz, size 58M
pagecounts-20091001-230000.gz, size 53M
pagecounts-20091002-000000.gz, size 49M
pagecounts-20091002-010001.gz, size 48M
pagecounts-20091002-020000.gz, size 47M
pagecounts-20091002-030000.gz, size 47M
pagecounts-20091002-040000.gz, size 47M
pagecounts-20091002-050000.gz, size 46M
pagecounts-20091002-060000.gz, size 48M
pagecounts-20091002-070000.gz, size 52M
pagecounts-20091002-080000.gz, size 54M
pagecounts-20091002-090000.gz, size 65M
pagecounts-20091002-100000.gz, size 66M
pagecounts-20091002-110001.gz, size 66M
pagecounts-20091002-120000.gz, size 66M
pagecounts-20091002-130000.gz, size 70M
pagecounts-20091002-140000.gz, size 76M
pagecounts-20091002-150000.gz, size 74M
pagecounts-20091002-160000.gz, size 72M
pagecounts-20091002-170000.gz, size 72M
pagecounts-20091002-180000.gz, size 71M
pagecounts-20091002-190000.gz, size 70M
pagecounts-20091002-200001.gz, size 69M
pagecounts-20091002-210000.gz, size 67M
pagecounts-20091002-220000.gz, size 63M
pagecounts-20091002-230000.gz, size 58M
pagecounts-20091003-000000.gz, size 61M
pagecounts-20091003-010000.gz, size 64M
pagecounts-20091003-020000.gz, size 63M
pagecounts-20091003-030000.gz, size 61M
pagecounts-20091003-040000.gz, size 57M
pagecounts-20091003-050000.gz, size 56M
pagecounts-20091003-060001.gz, size 55M
pagecounts-20091003-070000.gz, size 55M
pagecounts-20091003-080000.gz, size 54M
pagecounts-20091003-090000.gz, size 54M
pagecounts-20091003-100000.gz, size 56M
pagecounts-20091003-110000.gz, size 56M
pagecounts-20091003-120000.gz, size 57M
pagecounts-20091003-130000.gz, size 59M
pagecounts-20091003-140000.gz, size 60M
pagecounts-20091003-150001.gz, size 62M
pagecounts-20091003-160000.gz, size 64M
pagecounts-20091003-170000.gz, size 69M
pagecounts-20091003-180000.gz, size 69M
pagecounts-20091003-190000.gz, size 67M
pagecounts-20091003-200000.gz, size 67M
pagecounts-20091003-210000.gz, size 65M
pagecounts-20091003-220000.gz, size 62M
pagecounts-20091003-230000.gz, size 58M
pagecounts-20091004-000000.gz, size 63M
pagecounts-20091004-010001.gz, size 62M
pagecounts-20091004-020000.gz, size 59M
pagecounts-20091004-030000.gz, size 58M
pagecounts-20091004-040000.gz, size 57M
pagecounts-20091004-050000.gz, size 57M
pagecounts-20091004-060000.gz, size 58M
pagecounts-20091004-070000.gz, size 59M
pagecounts-20091004-080000.gz, size 61M
pagecounts-20091004-090000.gz, size 65M
pagecounts-20091004-100000.gz, size 69M
pagecounts-20091004-110001.gz, size 69M
pagecounts-20091004-120000.gz, size 65M
pagecounts-20091004-130000.gz, size 67M
pagecounts-20091004-140000.gz, size 67M
pagecounts-20091004-150000.gz, size 67M
pagecounts-20091004-160000.gz, size 68M
pagecounts-20091004-170000.gz, size 67M
pagecounts-20091004-180000.gz, size 66M
pagecounts-20091004-190001.gz, size 66M
pagecounts-20091004-200000.gz, size 66M
pagecounts-20091004-210000.gz, size 65M
pagecounts-20091004-220000.gz, size 63M
pagecounts-20091004-230000.gz, size 59M
pagecounts-20091005-000000.gz, size 63M
pagecounts-20091005-010000.gz, size 61M
pagecounts-20091005-020000.gz, size 57M
pagecounts-20091005-030000.gz, size 59M
pagecounts-20091005-040000.gz, size 60M
pagecounts-20091005-050001.gz, size 58M
pagecounts-20091005-060000.gz, size 57M
pagecounts-20091005-070000.gz, size 60M
pagecounts-20091005-080000.gz, size 63M
pagecounts-20091005-090000.gz, size 64M
pagecounts-20091005-100000.gz, size 69M
pagecounts-20091005-110000.gz, size 69M
pagecounts-20091005-120000.gz, size 64M
pagecounts-20091005-130000.gz, size 66M
pagecounts-20091005-140001.gz, size 68M
pagecounts-20091005-150000.gz, size 68M
pagecounts-20091005-160000.gz, size 68M
pagecounts-20091005-170000.gz, size 67M
pagecounts-20091005-180000.gz, size 68M
pagecounts-20091005-190000.gz, size 66M
pagecounts-20091005-200000.gz, size 64M
pagecounts-20091005-210001.gz, size 62M
pagecounts-20091005-220000.gz, size 59M
pagecounts-20091005-230000.gz, size 53M
pagecounts-20091006-000000.gz, size 51M
pagecounts-20091006-010000.gz, size 49M
pagecounts-20091006-020000.gz, size 47M
pagecounts-20091006-030000.gz, size 46M
pagecounts-20091006-040000.gz, size 46M
pagecounts-20091006-050000.gz, size 45M
pagecounts-20091006-060001.gz, size 49M
pagecounts-20091006-070000.gz, size 52M
pagecounts-20091006-080000.gz, size 54M
pagecounts-20091006-090000.gz, size 55M
pagecounts-20091006-100000.gz, size 55M
pagecounts-20091006-110000.gz, size 56M
pagecounts-20091006-120000.gz, size 57M
pagecounts-20091006-130000.gz, size 60M
pagecounts-20091006-140000.gz, size 63M
pagecounts-20091006-150001.gz, size 69M
pagecounts-20091006-160000.gz, size 69M
pagecounts-20091006-170000.gz, size 68M
pagecounts-20091006-180000.gz, size 67M
pagecounts-20091006-190000.gz, size 68M
pagecounts-20091006-200000.gz, size 67M
pagecounts-20091006-210000.gz, size 65M
pagecounts-20091006-220000.gz, size 63M
pagecounts-20091006-230000.gz, size 58M
pagecounts-20091007-000001.gz, size 61M
pagecounts-20091007-010000.gz, size 60M
pagecounts-20091007-020000.gz, size 59M
pagecounts-20091007-030000.gz, size 59M
pagecounts-20091007-040000.gz, size 60M
pagecounts-20091007-050000.gz, size 58M
pagecounts-20091007-060000.gz, size 60M
pagecounts-20091007-070000.gz, size 64M
pagecounts-20091007-080000.gz, size 66M
pagecounts-20091007-090001.gz, size 67M
pagecounts-20091007-100000.gz, size 68M
pagecounts-20091007-110000.gz, size 67M
pagecounts-20091007-120000.gz, size 64M
pagecounts-20091007-130000.gz, size 66M
pagecounts-20091007-140000.gz, size 67M
pagecounts-20091007-150000.gz, size 66M
pagecounts-20091007-160000.gz, size 65M
pagecounts-20091007-170000.gz, size 64M
pagecounts-20091007-180001.gz, size 63M
pagecounts-20091007-190000.gz, size 62M
pagecounts-20091007-200000.gz, size 66M
pagecounts-20091007-210000.gz, size 67M
pagecounts-20091007-220000.gz, size 64M
pagecounts-20091007-230000.gz, size 59M
pagecounts-20091008-000000.gz, size 62M
pagecounts-20091008-010000.gz, size 60M
pagecounts-20091008-020000.gz, size 60M
pagecounts-20091008-030001.gz, size 60M
pagecounts-20091008-040000.gz, size 59M
pagecounts-20091008-050000.gz, size 58M
pagecounts-20091008-060000.gz, size 60M
pagecounts-20091008-070000.gz, size 58M
pagecounts-20091008-080000.gz, size 67M
pagecounts-20091008-090000.gz, size 70M
pagecounts-20091008-100000.gz, size 70M
pagecounts-20091008-110000.gz, size 69M
pagecounts-20091008-120000.gz, size 67M
pagecounts-20091008-130001.gz, size 70M
pagecounts-20091008-140000.gz, size 71M
pagecounts-20091008-150000.gz, size 71M
pagecounts-20091008-160000.gz, size 69M
pagecounts-20091008-170000.gz, size 69M
pagecounts-20091008-180000.gz, size 69M
pagecounts-20091008-190000.gz, size 69M
pagecounts-20091008-200000.gz, size 69M
pagecounts-20091008-210000.gz, size 67M
pagecounts-20091008-220000.gz, size 64M
pagecounts-20091008-230001.gz, size 58M
pagecounts-20091009-000000.gz, size 54M
pagecounts-20091009-010000.gz, size 49M
pagecounts-20091009-020000.gz, size 47M
pagecounts-20091009-030000.gz, size 46M
pagecounts-20091009-040000.gz, size 46M
pagecounts-20091009-050000.gz, size 44M
pagecounts-20091009-060000.gz, size 43M
pagecounts-20091009-070000.gz, size 49M
pagecounts-20091009-080000.gz, size 52M
pagecounts-20091009-090000.gz, size 61M
pagecounts-20091009-100001.gz, size 66M
pagecounts-20091009-110000.gz, size 68M
pagecounts-20091009-120000.gz, size 65M
pagecounts-20091009-130000.gz, size 68M
pagecounts-20091009-140000.gz, size 71M
pagecounts-20091009-150000.gz, size 71M
pagecounts-20091009-160000.gz, size 71M
pagecounts-20091009-170000.gz, size 69M
pagecounts-20091009-180000.gz, size 68M
pagecounts-20091009-190001.gz, size 68M
pagecounts-20091009-200000.gz, size 68M
pagecounts-20091009-210000.gz, size 65M
pagecounts-20091009-220000.gz, size 62M
pagecounts-20091009-230000.gz, size 57M
pagecounts-20091010-000000.gz, size 60M
pagecounts-20091010-010000.gz, size 57M
pagecounts-20091010-020000.gz, size 57M
pagecounts-20091010-030000.gz, size 56M
pagecounts-20091010-040000.gz, size 54M
pagecounts-20091010-050000.gz, size 55M
pagecounts-20091010-060001.gz, size 54M
pagecounts-20091010-070000.gz, size 55M
pagecounts-20091010-080000.gz, size 58M
pagecounts-20091010-090000.gz, size 61M
pagecounts-20091010-100000.gz, size 64M
pagecounts-20091010-110000.gz, size 64M
pagecounts-20091010-120000.gz, size 59M
pagecounts-20091010-130000.gz, size 61M
pagecounts-20091010-140000.gz, size 62M
pagecounts-20091010-150000.gz, size 62M
pagecounts-20091010-160001.gz, size 63M
pagecounts-20091010-170000.gz, size 62M
pagecounts-20091010-180000.gz, size 60M
pagecounts-20091010-190000.gz, size 59M
pagecounts-20091010-200000.gz, size 58M
pagecounts-20091010-210000.gz, size 57M
pagecounts-20091010-220000.gz, size 53M
pagecounts-20091010-230000.gz, size 50M
pagecounts-20091011-000000.gz, size 47M
pagecounts-20091011-010000.gz, size 44M
pagecounts-20091011-020001.gz, size 43M
pagecounts-20091011-030000.gz, size 43M
pagecounts-20091011-040000.gz, size 43M
pagecounts-20091011-050000.gz, size 50M
